Renderer,Driver,MSAA,width,height,FPS,seconds,core_temp,core_temp_fahrenheit,core_vddc,core_load,gpu_power,core_clock,mem_clock,sys_mem_load,proc_mem_load,gpu_mem_load
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,41.0,105.8,0.000,14.0,5.7,420.0,405.0,36,51089408,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,51089408,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,41.0,105.8,0.000,14.0,5.6,420.0,405.0,36,51089408,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,51089408,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,41.0,105.8,0.000,31.0,8.0,570.0,405.0,36,51089408,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,5.0,0.0,1227.0,3003.0,36,51089408,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,41.0,105.8,0.000,9.0,5.1,420.0,405.0,36,51093504,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,51093504,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,41.0,105.8,0.000,23.0,5.5,420.0,405.0,36,51154944,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,5.0,0.0,1227.0,3003.0,36,51154944,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,189,1.3,51.0,123.8,0.000,98.0,94.7,1485.0,7000.0,36,120745984,1356
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,189,1.3,45.0,113.0,0.000,5.0,0.0,1227.0,3003.0,36,120745984,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,250,3.4,53.0,127.4,0.000,98.0,99.3,1500.0,7000.0,36,120217600,1356
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,250,3.4,45.0,113.0,0.000,5.0,0.0,1227.0,3003.0,36,120217600,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,246,5.4,54.0,129.2,0.000,97.0,99.1,1500.0,7000.0,36,120217600,1356
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,246,5.4,45.0,113.0,0.000,5.0,0.0,1227.0,3003.0,36,120217600,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,247,7.5,54.0,129.2,0.000,97.0,100.1,1485.0,7000.0,36,118632448,1352
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,247,7.5,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,118632448,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,38.0,100.4,0.000,13.0,21.0,1410.0,7000.0,43,39190528,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,6.0,0.0,1227.0,3003.0,43,39198720,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,37.0,98.6,0.000,5.0,8.6,435.0,810.0,43,43073536,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,5.0,0.0,1227.0,3003.0,43,43073536,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,37.0,98.6,0.000,4.0,15.5,1410.0,7000.0,20,39587840,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,40.0,104.0,0.000,0.0,0.0,683.0,810.0,20,39596032,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,36.0,96.8,0.000,1.0,10.6,420.0,810.0,20,43302912,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,40.0,104.0,0.000,0.0,0.0,683.0,810.0,20,43302912,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,36.0,96.8,0.000,5.0,10.0,315.0,405.0,20,43356160,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,40.0,104.0,0.000,0.0,0.0,189.0,405.0,20,43356160,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,36.0,96.8,0.000,4.0,10.1,300.0,405.0,20,43356160,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,40.0,104.0,0.000,0.0,0.0,139.0,405.0,20,43356160,-1
